ds,yhat,yhat_lower,yhat_upper
2025-05-04,145.11689782647952,122.46883296535353,167.72318239899388
2025-05-05,145.50557060582938,121.61455569168464,168.88507771807366
2025-05-06,143.6401599138096,119.95254587112622,167.45359234541164
2025-05-07,144.81827305848876,121.92681313249744,167.80322322651398
2025-05-08,145.62180143390904,123.54084391105916,170.26375689190434
2025-05-09,145.8836055548399,122.2899031381414,168.25018700346106
2025-05-10,146.69620308028956,124.63452516745053,168.72801126484396
2025-05-11,147.65785778134264,124.18888562435137,171.0353966360002
2025-05-12,148.0465305620018,125.16398755905219,172.7250607038924
2025-05-13,146.18111987129086,121.82522569063232,168.34538263224587
2025-05-14,147.35923301597154,122.41545119111807,171.6117752727147
2025-05-15,148.16276139138984,125.77288574880322,170.97370411056144
2025-05-16,148.42456551232146,124.16622889098619,172.67513690774703
2025-05-17,149.23716303777323,126.09022719322019,171.41182236135793
2025-05-18,150.19881773882665,126.14654724269317,172.8973299015007
2025-05-19,150.58749051498748,125.32842560900464,174.53727544144206
2025-05-20,148.7220798197727,124.86174811394778,171.94605433912514
2025-05-21,149.90019295994952,124.95269770626015,173.7921961351563
2025-05-22,150.70372133086676,126.82467646699882,174.222699788757
2025-05-23,150.96552544729226,127.36903483963108,172.2803496122423
2025-05-24,151.7781229682399,127.99134686816323,176.4492046384712
2025-05-25,152.739777664794,129.33924232581325,176.89516526348385
2025-05-26,153.12845044095323,128.45865857931003,177.687380835794
2025-05-27,151.26303974573887,127.66265449718989,174.85879916416124
2025-05-28,152.44115288591718,127.48769186443482,176.73796496502058
2025-05-29,153.24468125683242,129.29650395957594,177.84903716005616
2025-05-30,153.50648537325765,129.84525680671118,176.80137765926236
2025-05-31,154.3190829025467,130.91058027609432,178.18643586247546
2025-06-01,155.28073760743936,130.5645724117859,178.23328633834225
2025-06-02,155.66941039193466,132.47630684617332,180.0474176016958
2025-06-03,153.80399970505917,128.85823552070403,175.95368704853158
2025-06-04,154.9821128535718,129.09891587283366,177.04625043898068
2025-06-05,155.78564123282976,130.92144863007925,177.4157196403824
2025-06-06,156.0474453575941,131.9871041687337,180.19190783878395
2025-06-07,156.86004288688045,133.8555587363633,179.9691423517691
2025-06-08,157.82169759177413,134.71656174890225,182.7367260941735
2025-06-09,158.21037037626783,134.06958168946556,179.6975692328761
2025-06-10,156.3449596893928,131.27079709252928,179.20932310142587
2025-06-11,157.52307794426073,134.13154180210395,180.52670562449666
2025-06-12,158.32661142987052,132.8173816270312,182.27359242211327
2025-06-13,158.5884206609894,135.25861302997404,184.11087486188245
2025-06-14,159.4010232966339,135.87112567381197,182.8614843009388
2025-06-15,160.3626831078757,136.76976157464347,183.40356792570677
2025-06-16,160.75136099873126,136.8620304053692,184.41373316325712
2025-06-17,158.88595541820297,135.81679205588122,181.7976609513131
2025-06-18,160.0640736730741,136.9009097735402,184.30933663188375
2025-06-19,160.8676071586826,137.02163767571452,185.7236710846809
2025-06-20,161.12941638980396,138.05162707200824,183.63382021397334
2025-06-21,161.94201902544424,138.32672737967226,184.1551449118906
2025-06-22,162.9036788366872,140.48052784024543,186.43429396751145
2025-06-23,163.32248090770793,140.14263252672077,187.21028959996704
2025-06-24,161.4871995073474,137.6789357521651,184.60426159479215
2025-06-25,162.69544194238458,137.57514024344783,183.47068429553318
2025-06-26,163.52909960816072,141.4593149355214,187.05544198795033
2025-06-27,163.8210330194458,140.60053456290726,188.4513275364598
2025-06-28,164.66375983525532,140.38741903739864,188.95036081893718
2025-06-29,165.6555438266676,141.24281392148546,189.23915979314083
2025-06-30,166.0743458976857,142.4104898149027,191.48701442209693
2025-07-01,164.23906449732868,140.43934666220926,187.3521083471418
2025-07-02,165.44730693236548,142.3289760962868,187.63415605383503
2025-07-03,166.2809645981427,141.59835371752067,191.9072315219462
2025-07-04,166.57289800942644,144.014845300162,189.2360913819539
2025-07-05,167.41562482523543,144.16845025823366,193.14429806048514
2025-07-06,168.407408816645,143.69272717266642,191.23824410648731
2025-07-07,168.8262108876635,144.7477707816523,191.92331274511938
2025-07-08,166.9909294873077,145.43460541336185,189.75715123159293
2025-07-09,168.19917192234635,144.86477044005682,191.36716305559514
2025-07-10,169.03282958811994,146.6895771268121,193.73893141318058
2025-07-11,169.32476299940444,145.96781943479755,192.7229223130415
2025-07-12,170.1674898152092,146.07258617689155,193.630247203649
2025-07-13,171.15927380662322,148.308655142829,194.0478458244491
2025-07-14,171.5780758776413,147.46568005282163,196.73987387932428
2025-07-15,169.74279447728543,147.2164559553156,191.97212992976986
2025-07-16,170.9510369123256,146.57875507355584,194.27491513800965
2025-07-17,171.78469457809837,147.82615299068593,196.37091832036612
2025-07-18,172.07662798938244,147.6743979652933,196.0260334259389
2025-07-19,172.9193548051916,147.86513444154693,197.50478693828808
2025-07-20,173.9111387966006,149.482418745752,197.39529712053564
2025-07-21,174.3299408676186,152.27649808620373,198.1582870158143
2025-07-22,172.4946594672638,151.0210701280141,195.76533060092325
